,Threshold,FP Rate,TP Rate,FAR,FRR,Accuracy
49,0.099,0.0005445651459528481,0.0029665587918015104,0.0005445651459528481,0.9970334412081985,50.12109968229244
50,0.101,0.0004882308205094501,0.0029665587918015104,0.0004882308205094501,0.9970334412081985,50.1239163985646
51,0.103,0.0004882308205094501,0.0029665587918015104,0.0004882308205094501,0.9970334412081985,50.1239163985646
52,0.105,0.0004882308205094501,0.002696871628910464,0.0004882308205094501,0.9973031283710896,50.11043204042005
53,0.107,0.0004882308205094501,0.002696871628910464,0.0004882308205094501,0.9973031283710896,50.11043204042005
54,0.109,0.0004882308205094501,0.002696871628910464,0.0004882308205094501,0.9973031283710896,50.11043204042005
55,0.111,0.0004882308205094501,0.002696871628910464,0.0004882308205094501,0.9973031283710896,50.11043204042005
56,0.113,0.000431896495066052,0.0024271844660194173,0.000431896495066052,0.9975728155339806,50.09976439854767
57,0.115,0.000431896495066052,0.002157497303128371,0.000431896495066052,0.9978425026968716,50.08628004040312
58,0.117,0.000431896495066052,0.002157497303128371,0.000431896495066052,0.9978425026968716,50.08628004040312
59,0.119,0.000431896495066052,0.002157497303128371,0.000431896495066052,0.9978425026968716,50.08628004040312
60,0.121,0.000431896495066052,0.002157497303128371,0.000431896495066052,0.9978425026968716,50.08628004040312
61,0.123,0.000431896495066052,0.002157497303128371,0.000431896495066052,0.9978425026968716,50.08628004040312
62,0.125,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
63,0.127,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
64,0.129,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
65,0.131,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
66,0.133,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
67,0.135,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
68,0.137,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
69,0.139,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
70,0.141,0.0004131183865849193,0.0018878101402373248,0.0004131183865849193,0.9981121898597627,50.07373458768262
71,0.143,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
72,0.145,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
73,0.147,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
74,0.149,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
75,0.151,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
76,0.153,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
77,0.155,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
78,0.157,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
79,0.159,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
80,0.161,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
81,0.163,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
82,0.165,0.0002910606814575568,0.001348435814455232,0.0002910606814575568,0.9986515641855448,50.05286875664988
83,0.167,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
84,0.169,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
85,0.171,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
86,0.173,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
87,0.175,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
88,0.177,0.00022533730177359235,0.0010787486515641855,0.00022533730177359235,0.9989212513484358,50.04267056748953
